date,district,reservoir_level_pct,capacity_mcft
2023-02-27,Vijayawada,30.76,997
2023-02-28,Vijayawada,30.65,997
2023-03-01,Vijayawada,30.05,997
2023-03-02,Vijayawada,29.46,997
2023-03-03,Vijayawada,28.92,997
2023-03-04,Vijayawada,28.13,997
2023-03-05,Vijayawada,27.81,997
2023-03-06,Vijayawada,27.47,997
2023-03-07,Vijayawada,27.32,997
2023-03-08,Vijayawada,26.91,997
2023-03-09,Vijayawada,26.62,997
2023-03-10,Vijayawada,26.28,997
2023-03-11,Vijayawada,25.6,997
2023-03-12,Vijayawada,24.84,997
2023-03-13,Vijayawada,24.61,997
2023-03-14,Vijayawada,24.25,997
2023-03-15,Vijayawada,23.5,997
2023-03-16,Vijayawada,23.36,997
2023-03-17,Vijayawada,23.2,997
2023-03-18,Vijayawada,22.98,997
2023-03-19,Vijayawada,22.47,997
2023-03-20,Vijayawada,22.26,997
2023-03-21,Vijayawada,21.48,997
2023-03-22,Vijayawada,21.07,997
2023-03-23,Vijayawada,20.62,997
2023-03-24,Vijayawada,20.35,997
2023-03-25,Vijayawada,19.92,997
2023-03-26,Vijayawada,19.35,997
2023-03-27,Vijayawada,18.73,997
2023-03-28,Vijayawada,18.1,997
2023-03-29,Vijayawada,17.59,997
2023-03-30,Vijayawada,16.86,997
2023-03-31,Vijayawada,16.19,997
2023-04-01,Vijayawada,15.56,997
2023-04-02,Vijayawada,15.42,997
2023-04-03,Vijayawada,15.32,997
2023-04-04,Vijayawada,15.07,997
2023-04-05,Vijayawada,14.5,997
2023-04-06,Vijayawada,14.11,997
2023-04-07,Vijayawada,13.73,997
2023-04-08,Vijayawada,13.01,997
2023-04-09,Vijayawada,12.29,997
2023-04-10,Vijayawada,11.55,997
2023-04-11,Vijayawada,11.23,997
2023-04-12,Vijayawada,10.65,997
2023-04-13,Vijayawada,10.36,997
2023-04-14,Vijayawada,10.12,997
2023-04-15,Vijayawada,10.0,997
2023-04-16,Vijayawada,10.0,997
2023-04-17,Vijayawada,10.0,997
2023-04-18,Vijayawada,10.0,997
2023-04-19,Vijayawada,10.0,997
2023-04-20,Vijayawada,10.0,997
2023-04-21,Vijayawada,10.0,997
2023-04-22,Vijayawada,10.0,997
2023-04-23,Vijayawada,10.0,997
2023-04-24,Vijayawada,10.0,997
2023-04-25,Vijayawada,10.0,997
2023-04-26,Vijayawada,10.0,997
2023-04-27,Vijayawada,10.0,997
2023-04-28,Vijayawada,10.0,997
2023-04-29,Vijayawada,10.0,997
2023-04-30,Vijayawada,10.0,997
2023-05-01,Vijayawada,10.0,997
2023-05-02,Vijayawada,10.0,997
2023-05-03,Vijayawada,10.0,997
2023-05-04,Vijayawada,10.0,997
2023-05-05,Vijayawada,10.0,997
2023-05-06,Vijayawada,10.0,997
2023-05-07,Vijayawada,10.0,997
2023-05-08,Vijayawada,10.0,997
2023-05-09,Vijayawada,10.0,997
2023-05-10,Vijayawada,10.0,997
2023-05-11,Vijayawada,10.0,997
2023-05-12,Vijayawada,10.0,997
2023-05-13,Vijayawada,10.0,997
2023-05-14,Vijayawada,10.0,997
2023-05-15,Vijayawada,10.0,997
2023-05-16,Vijayawada,10.0,997
2023-05-17,Vijayawada,10.0,997
2023-05-18,Vijayawada,10.0,997
2023-05-19,Vijayawada,10.0,997
2023-05-20,Vijayawada,10.0,997
2023-05-21,Vijayawada,10.0,997
2023-05-22,Vijayawada,10.0,997
2023-05-23,Vijayawada,10.0,997
2023-05-24,Vijayawada,10.0,997
2023-05-25,Vijayawada,10.0,997
2023-05-26,Vijayawada,10.0,997
2023-05-27,Vijayawada,10.0,997
2023-05-28,Vijayawada,10.0,997
2023-05-29,Vijayawada,10.0,997
2023-05-30,Vijayawada,10.0,997
2023-05-31,Vijayawada,10.0,997
2023-06-01,Vijayawada,12.47,997
2023-06-02,Vijayawada,13.49,997
2023-06-03,Vijayawada,15.93,997
2023-06-04,Vijayawada,17.29,997
2023-06-05,Vijayawada,18.48,997
2023-06-06,Vijayawada,19.08,997
2023-06-07,Vijayawada,19.69,997
2023-06-08,Vijayawada,21.57,997
2023-06-09,Vijayawada,22.99,997
2023-06-10,Vijayawada,23.94,997
2023-06-11,Vijayawada,25.67,997
2023-06-12,Vijayawada,26.68,997
2023-06-13,Vijayawada,28.33,997
2023-06-14,Vijayawada,29.55,997
2023-06-15,Vijayawada,31.7,997
2023-06-16,Vijayawada,33.84,997
2023-06-17,Vijayawada,35.29,997
2023-06-18,Vijayawada,36.49,997
2023-06-19,Vijayawada,37.72,997
2023-06-20,Vijayawada,39.83,997
2023-06-21,Vijayawada,40.99,997
2023-06-22,Vijayawada,41.91,997
2023-06-23,Vijayawada,42.58,997
2023-06-24,Vijayawada,44.01,997
2023-06-25,Vijayawada,45.47,997
2023-06-26,Vijayawada,47.65,997
2023-06-27,Vijayawada,48.6,997
2023-06-28,Vijayawada,49.86,997
2023-06-29,Vijayawada,51.98,997
2023-06-30,Vijayawada,54.12,997
2023-07-01,Vijayawada,55.39,997
2023-07-02,Vijayawada,56.81,997
2023-07-03,Vijayawada,57.92,997
2023-07-04,Vijayawada,60.28,997
2023-07-05,Vijayawada,61.02,997
2023-07-06,Vijayawada,63.39,997
2023-07-07,Vijayawada,65.25,997
2023-07-08,Vijayawada,66.82,997
2023-07-09,Vijayawada,67.38,997
2023-07-10,Vijayawada,68.83,997
2023-07-11,Vijayawada,70.15,997
2023-07-12,Vijayawada,70.97,997
2023-07-13,Vijayawada,72.79,997
2023-07-14,Vijayawada,75.23,997
2023-07-15,Vijayawada,76.85,997
2023-07-16,Vijayawada,78.78,997
2023-07-17,Vijayawada,79.42,997
2023-07-18,Vijayawada,80.75,997
2023-07-19,Vijayawada,81.49,997
2023-07-20,Vijayawada,83.21,997
2023-07-21,Vijayawada,85.59,997
2023-07-22,Vijayawada,87.41,997
2023-07-23,Vijayawada,88.07,997
2023-07-24,Vijayawada,89.28,997
2023-07-25,Vijayawada,90.88,997
2023-07-26,Vijayawada,92.18,997
2023-07-27,Vijayawada,94.35,997
2023-07-28,Vijayawada,96.48,997
2023-07-29,Vijayawada,98.2,997
2023-07-30,Vijayawada,99.45,997
2023-07-31,Vijayawada,100.0,997
2023-08-01,Vijayawada,100.0,997
2023-08-02,Vijayawada,100.0,997
2023-08-03,Vijayawada,100.0,997
2023-08-04,Vijayawada,100.0,997
2023-08-05,Vijayawada,100.0,997
2023-08-06,Vijayawada,100.0,997
2023-08-07,Vijayawada,100.0,997
2023-08-08,Vijayawada,100.0,997
2023-08-09,Vijayawada,100.0,997
2023-08-10,Vijayawada,100.0,997
2023-08-11,Vijayawada,100.0,997
2023-08-12,Vijayawada,100.0,997
2023-08-13,Vijayawada,100.0,997
2023-08-14,Vijayawada,100.0,997
2023-08-15,Vijayawada,100.0,997
2023-08-16,Vijayawada,100.0,997
2023-08-17,Vijayawada,100.0,997
2023-08-18,Vijayawada,100.0,997
2023-08-19,Vijayawada,100.0,997
2023-08-20,Vijayawada,100.0,997
2023-08-21,Vijayawada,100.0,997
2023-08-22,Vijayawada,100.0,997
2023-08-23,Vijayawada,100.0,997
2023-08-24,Vijayawada,100.0,997
2023-08-25,Vijayawada,100.0,997
2023-08-26,Vijayawada,100.0,997
2023-08-27,Vijayawada,100.0,997
2023-08-28,Vijayawada,100.0,997
2023-08-29,Vijayawada,100.0,997
2023-08-30,Vijayawada,100.0,997
2023-08-31,Vijayawada,100.0,997
2023-09-01,Vijayawada,100.0,997
2023-09-02,Vijayawada,100.0,997
2023-09-03,Vijayawada,100.0,997
2023-09-04,Vijayawada,100.0,997
2023-09-05,Vijayawada,100.0,997
2023-09-06,Vijayawada,100.0,997
2023-09-07,Vijayawada,100.0,997
2023-09-08,Vijayawada,100.0,997
2023-09-09,Vijayawada,100.0,997
2023-09-10,Vijayawada,100.0,997
2023-09-11,Vijayawada,100.0,997
2023-09-12,Vijayawada,100.0,997
2023-09-13,Vijayawada,100.0,997
2023-09-14,Vijayawada,100.0,997
2023-09-15,Vijayawada,100.0,997
2023-09-16,Vijayawada,100.0,997
2023-09-17,Vijayawada,100.0,997
2023-09-18,Vijayawada,100.0,997
2023-09-19,Vijayawada,100.0,997
2023-09-20,Vijayawada,100.0,997
2023-09-21,Vijayawada,100.0,997
2023-09-22,Vijayawada,100.0,997
2023-09-23,Vijayawada,100.0,997
2023-09-24,Vijayawada,100.0,997
2023-09-25,Vijayawada,100.0,997
2023-09-26,Vijayawada,100.0,997
2023-09-27,Vijayawada,100.0,997
2023-09-28,Vijayawada,100.0,997
2023-09-29,Vijayawada,100.0,997
2023-09-30,Vijayawada,100.0,997
2023-10-01,Vijayawada,99.88,997
2023-10-02,Vijayawada,99.36,997
2023-10-03,Vijayawada,98.8,997
2023-10-04,Vijayawada,98.22,997
2023-10-05,Vijayawada,98.03,997
2023-10-06,Vijayawada,97.27,997
2023-10-07,Vijayawada,97.05,997
2023-10-08,Vijayawada,96.51,997
2023-10-09,Vijayawada,96.26,997
2023-10-10,Vijayawada,95.94,997
2023-10-11,Vijayawada,95.46,997
2023-10-12,Vijayawada,95.07,997
2023-10-13,Vijayawada,94.85,997
2023-10-14,Vijayawada,94.63,997
2023-10-15,Vijayawada,94.24,997
2023-10-16,Vijayawada,93.61,997
2023-10-17,Vijayawada,92.88,997
2023-10-18,Vijayawada,92.72,997
2023-10-19,Vijayawada,92.35,997
2023-10-20,Vijayawada,92.18,997
2023-10-21,Vijayawada,92.07,997
2023-10-22,Vijayawada,91.5,997
2023-10-23,Vijayawada,90.98,997
2023-10-24,Vijayawada,90.77,997
2023-10-25,Vijayawada,90.5,997
2023-10-26,Vijayawada,90.39,997
2023-10-27,Vijayawada,89.7,997
2023-10-28,Vijayawada,88.92,997
2023-10-29,Vijayawada,88.73,997
2023-10-30,Vijayawada,88.46,997
2023-10-31,Vijayawada,87.76,997
2023-11-01,Vijayawada,87.01,997
2023-11-02,Vijayawada,86.61,997
2023-11-03,Vijayawada,86.48,997
2023-11-04,Vijayawada,86.35,997
2023-11-05,Vijayawada,85.85,997
2023-11-06,Vijayawada,85.47,997
2023-11-07,Vijayawada,85.35,997
2023-11-08,Vijayawada,84.85,997
2023-11-09,Vijayawada,84.74,997
2023-11-10,Vijayawada,84.09,997
2023-11-11,Vijayawada,83.77,997
2023-11-12,Vijayawada,83.64,997
2023-11-13,Vijayawada,83.13,997
2023-11-14,Vijayawada,82.75,997
2023-11-15,Vijayawada,81.97,997
2023-11-16,Vijayawada,81.49,997
2023-11-17,Vijayawada,81.2,997
2023-11-18,Vijayawada,80.6,997
2023-11-19,Vijayawada,80.31,997
2023-11-20,Vijayawada,79.58,997
2023-11-21,Vijayawada,79.22,997
2023-11-22,Vijayawada,78.73,997
2023-11-23,Vijayawada,78.6,997
2023-11-24,Vijayawada,78.2,997
2023-11-25,Vijayawada,77.52,997
2023-11-26,Vijayawada,76.85,997
2023-11-27,Vijayawada,76.6,997
2023-11-28,Vijayawada,76.34,997
2023-11-29,Vijayawada,75.66,997
2023-11-30,Vijayawada,74.91,997
2023-12-01,Vijayawada,74.75,997
2023-12-02,Vijayawada,74.33,997
2023-12-03,Vijayawada,74.0,997
2023-12-04,Vijayawada,73.29,997
2023-12-05,Vijayawada,73.13,997
2023-12-06,Vijayawada,72.88,997
2023-12-07,Vijayawada,72.25,997
2023-12-08,Vijayawada,72.12,997
2023-12-09,Vijayawada,71.67,997
2023-12-10,Vijayawada,71.26,997
2023-12-11,Vijayawada,70.93,997
2023-12-12,Vijayawada,70.55,997
2023-12-13,Vijayawada,70.08,997
2023-12-14,Vijayawada,69.87,997
2023-12-15,Vijayawada,69.37,997
2023-12-16,Vijayawada,68.7,997
2023-12-17,Vijayawada,68.07,997
2023-12-18,Vijayawada,67.86,997
2023-12-19,Vijayawada,67.66,997
2023-12-20,Vijayawada,67.37,997
2023-12-21,Vijayawada,67.02,997
2023-12-22,Vijayawada,66.63,997
2023-12-23,Vijayawada,66.06,997
2023-12-24,Vijayawada,65.92,997
2023-12-25,Vijayawada,65.79,997
2023-12-26,Vijayawada,65.42,997
2023-12-27,Vijayawada,64.83,997
2023-12-28,Vijayawada,64.6,997
2023-12-29,Vijayawada,64.05,997
2023-12-30,Vijayawada,63.77,997
2023-12-31,Vijayawada,63.05,997
2023-01-01,Guntur,50.09,4519
2023-01-02,Guntur,49.91,4519
2023-01-03,Guntur,49.36,4519
2023-01-04,Guntur,48.64,4519
2023-01-05,Guntur,47.99,4519
2023-01-06,Guntur,47.79,4519
2023-01-07,Guntur,47.31,4519
2023-01-08,Guntur,47.14,4519
2023-01-09,Guntur,47.01,4519
2023-01-10,Guntur,46.45,4519
2023-01-11,Guntur,45.97,4519
2023-01-12,Guntur,45.81,4519
2023-01-13,Guntur,45.69,4519
2023-01-14,Guntur,44.9,4519
2023-01-15,Guntur,44.78,4519
2023-01-16,Guntur,44.36,4519
2023-01-17,Guntur,43.91,4519
2023-01-18,Guntur,43.73,4519
2023-01-19,Guntur,43.51,4519
2023-01-20,Guntur,43.16,4519
2023-01-21,Guntur,42.53,4519
2023-01-22,Guntur,42.08,4519
2023-01-23,Guntur,41.53,4519
2023-01-24,Guntur,40.74,4519
2023-01-25,Guntur,40.1,4519
2023-01-26,Guntur,39.7,4519
2023-01-27,Guntur,39.29,4519
2023-01-28,Guntur,38.75,4519
2023-01-29,Guntur,38.19,4519
2023-01-30,Guntur,37.74,4519
2023-01-31,Guntur,37.18,4519
2023-02-01,Guntur,37.07,4519
2023-02-02,Guntur,36.67,4519
2023-02-03,Guntur,36.37,4519
2023-02-04,Guntur,36.18,4519
2023-02-05,Guntur,36.01,4519
2023-02-06,Guntur,35.49,4519
2023-02-07,Guntur,35.02,4519
2023-02-08,Guntur,34.75,4519
2023-02-09,Guntur,34.32,4519
2023-02-10,Guntur,33.87,4519
2023-02-11,Guntur,33.64,4519
2023-02-12,Guntur,33.08,4519
2023-02-13,Guntur,32.43,4519
2023-02-14,Guntur,31.78,4519
2023-02-15,Guntur,31.26,4519
2023-02-16,Guntur,30.8,4519
2023-02-17,Guntur,30.66,4519
2023-02-18,Guntur,30.35,4519
2023-02-19,Guntur,30.19,4519
2023-02-20,Guntur,29.41,4519
2023-02-21,Guntur,29.22,4519
2023-02-22,Guntur,29.01,4519
2023-02-23,Guntur,28.29,4519
2023-02-24,Guntur,27.53,4519
2023-02-25,Guntur,26.89,4519
2023-02-26,Guntur,26.79,4519
2023-02-27,Guntur,26.69,4519
2023-02-28,Guntur,26.32,4519
2023-03-01,Guntur,26.12,4519
2023-03-02,Guntur,26.01,4519
2023-03-03,Guntur,25.59,4519
2023-03-04,Guntur,24.83,4519
2023-03-05,Guntur,24.5,4519
2023-03-06,Guntur,23.94,4519
2023-03-07,Guntur,23.38,4519
2023-03-08,Guntur,23.1,4519
2023-03-09,Guntur,22.55,4519
2023-03-10,Guntur,22.3,4519
2023-03-11,Guntur,22.12,4519
2023-03-12,Guntur,21.52,4519
2023-03-13,Guntur,21.34,4519
2023-03-14,Guntur,20.55,4519
2023-03-15,Guntur,20.32,4519
2023-03-16,Guntur,19.8,4519
2023-03-17,Guntur,19.41,4519
2023-03-18,Guntur,19.23,4519
2023-03-19,Guntur,19.11,4519
2023-03-20,Guntur,18.57,4519
2023-03-21,Guntur,17.91,4519
2023-03-22,Guntur,17.22,4519
2023-03-23,Guntur,16.78,4519
2023-03-24,Guntur,16.13,4519
2023-03-25,Guntur,15.56,4519
2023-03-26,Guntur,14.96,4519
2023-03-27,Guntur,14.51,4519
2023-03-28,Guntur,13.97,4519
2023-03-29,Guntur,13.3,4519
2023-03-30,Guntur,12.93,4519
2023-03-31,Guntur,12.26,4519
2023-04-01,Guntur,11.75,4519
2023-04-02,Guntur,11.53,4519
2023-04-03,Guntur,11.41,4519
2023-04-04,Guntur,11.06,4519
2023-04-05,Guntur,10.58,4519
2023-04-06,Guntur,10.0,4519
2023-04-07,Guntur,10.0,4519
2023-04-08,Guntur,10.0,4519
2023-04-09,Guntur,10.0,4519
2023-04-10,Guntur,10.0,4519
2023-04-11,Guntur,10.0,4519
2023-04-12,Guntur,10.0,4519
2023-04-13,Guntur,10.0,4519
2023-04-14,Guntur,10.0,4519
2023-04-15,Guntur,10.0,4519
2023-04-16,Guntur,10.0,4519
2023-04-17,Guntur,10.0,4519
2023-04-18,Guntur,10.0,4519
2023-04-19,Guntur,10.0,4519
2023-04-20,Guntur,10.0,4519
2023-04-21,Guntur,10.0,4519
2023-04-22,Guntur,10.0,4519
2023-04-23,Guntur,10.0,4519
2023-04-24,Guntur,10.0,4519
2023-04-25,Guntur,10.0,4519
2023-04-26,Guntur,10.0,4519
2023-04-27,Guntur,10.0,4519
2023-04-28,Guntur,10.0,4519
2023-04-29,Guntur,10.0,4519
2023-04-30,Guntur,10.0,4519
2023-05-01,Guntur,10.0,4519
2023-05-02,Guntur,10.0,4519
2023-05-03,Guntur,10.0,4519
2023-05-04,Guntur,10.0,4519
2023-05-05,Guntur,10.0,4519
2023-05-06,Guntur,10.0,4519
2023-05-07,Guntur,10.0,4519
2023-05-08,Guntur,10.0,4519
2023-05-09,Guntur,10.0,4519
2023-05-10,Guntur,10.0,4519
2023-05-11,Guntur,10.0,4519
2023-05-12,Guntur,10.0,4519
2023-05-13,Guntur,10.0,4519
2023-05-14,Guntur,10.0,4519
2023-05-15,Guntur,10.0,4519
2023-05-16,Guntur,10.0,4519
2023-05-17,Guntur,10.0,4519
2023-05-18,Guntur,10.0,4519
2023-05-19,Guntur,10.0,4519
2023-05-20,Guntur,10.0,4519
2023-05-21,Guntur,10.0,4519
2023-05-22,Guntur,10.0,4519
2023-05-23,Guntur,10.0,4519
2023-05-24,Guntur,10.0,4519
2023-05-25,Guntur,10.0,4519
2023-05-26,Guntur,10.0,4519
2023-05-27,Guntur,10.0,4519
2023-05-28,Guntur,10.0,4519
2023-05-29,Guntur,10.0,4519
2023-05-30,Guntur,10.0,4519
2023-05-31,Guntur,10.0,4519
2023-06-01,Guntur,10.66,4519
2023-06-02,Guntur,12.82,4519
2023-06-03,Guntur,15.28,4519
2023-06-04,Guntur,16.58,4519
2023-06-05,Guntur,17.26,4519
2023-06-06,Guntur,17.89,4519
2023-06-07,Guntur,20.17,4519
2023-06-08,Guntur,21.6,4519
2023-06-09,Guntur,22.74,4519
2023-06-10,Guntur,24.19,4519
2023-06-11,Guntur,25.33,4519
2023-06-12,Guntur,26.81,4519
2023-06-13,Guntur,29.03,4519
2023-06-14,Guntur,30.71,4519
2023-06-15,Guntur,32.6,4519
2023-06-16,Guntur,33.83,4519
2023-06-17,Guntur,35.81,4519
2023-06-18,Guntur,37.64,4519
2023-06-19,Guntur,38.38,4519
2023-06-20,Guntur,40.03,4519
2023-06-21,Guntur,41.04,4519
2023-06-22,Guntur,43.15,4519
2023-06-23,Guntur,44.5,4519
2023-06-24,Guntur,46.99,4519
2023-06-25,Guntur,47.67,4519
2023-06-26,Guntur,49.74,4519
2023-06-27,Guntur,51.58,4519
2023-06-28,Guntur,53.62,4519
2023-06-29,Guntur,54.73,4519
2023-06-30,Guntur,56.22,4519
2023-07-01,Guntur,58.31,4519
2023-07-02,Guntur,59.27,4519
2023-07-03,Guntur,60.23,4519
2023-07-04,Guntur,61.83,4519
2023-07-05,Guntur,63.38,4519
2023-07-06,Guntur,64.44,4519
2023-07-07,Guntur,65.54,4519
2023-07-08,Guntur,66.59,4519
2023-07-09,Guntur,68.64,4519
2023-07-10,Guntur,70.44,4519
2023-07-11,Guntur,72.6,4519
2023-07-12,Guntur,75.05,4519
2023-07-13,Guntur,76.5,4519
2023-07-14,Guntur,77.14,4519
2023-07-15,Guntur,77.73,4519
2023-07-16,Guntur,78.82,4519
2023-07-17,Guntur,81.19,4519
2023-07-18,Guntur,82.74,4519
2023-07-19,Guntur,83.78,4519
2023-07-20,Guntur,85.08,4519
2023-07-21,Guntur,86.77,4519
2023-07-22,Guntur,88.58,4519
2023-07-23,Guntur,89.39,4519
2023-07-24,Guntur,91.84,4519
2023-07-25,Guntur,93.43,4519
2023-07-26,Guntur,94.2,4519
2023-07-27,Guntur,96.49,4519
2023-07-28,Guntur,97.14,4519
2023-07-29,Guntur,99.46,4519
2023-07-30,Guntur,100.0,4519
2023-07-31,Guntur,100.0,4519
2023-08-01,Guntur,100.0,4519
2023-08-02,Guntur,100.0,4519
2023-08-03,Guntur,100.0,4519
2023-08-04,Guntur,100.0,4519
2023-08-05,Guntur,100.0,4519
2023-08-06,Guntur,100.0,4519
2023-08-07,Guntur,100.0,4519
2023-08-08,Guntur,100.0,4519
2023-08-09,Guntur,100.0,4519
2023-08-10,Guntur,100.0,4519
2023-08-11,Guntur,100.0,4519
2023-08-12,Guntur,100.0,4519
2023-08-13,Guntur,100.0,4519
2023-08-14,Guntur,100.0,4519
2023-08-15,Guntur,100.0,4519
2023-08-16,Guntur,100.0,4519
2023-08-17,Guntur,100.0,4519
2023-08-18,Guntur,100.0,4519
2023-08-19,Guntur,100.0,4519
2023-08-20,Guntur,100.0,4519
2023-08-21,Guntur,100.0,4519
2023-08-22,Guntur,100.0,4519
2023-08-23,Guntur,100.0,4519
2023-08-24,Guntur,100.0,4519
2023-08-25,Guntur,100.0,4519
2023-08-26,Guntur,100.0,4519
2023-08-27,Guntur,100.0,4519
2023-08-28,Guntur,100.0,4519
2023-08-29,Guntur,100.0,4519
2023-08-30,Guntur,100.0,4519
2023-08-31,Guntur,100.0,4519
2023-09-01,Guntur,100.0,4519
2023-09-02,Guntur,100.0,4519
2023-09-03,Guntur,100.0,4519
2023-09-04,Guntur,100.0,4519
2023-09-05,Guntur,100.0,4519
2023-09-06,Guntur,100.0,4519
2023-09-07,Guntur,100.0,4519
2023-09-08,Guntur,100.0,4519
2023-09-09,Guntur,100.0,4519
2023-09-10,Guntur,100.0,4519
2023-09-11,Guntur,100.0,4519
2023-09-12,Guntur,100.0,4519
2023-09-13,Guntur,100.0,4519
2023-09-14,Guntur,100.0,4519
2023-09-15,Guntur,100.0,4519
2023-09-16,Guntur,100.0,4519
2023-09-17,Guntur,100.0,4519
2023-09-18,Guntur,100.0,4519
2023-09-19,Guntur,100.0,4519
2023-09-20,Guntur,100.0,4519
2023-09-21,Guntur,100.0,4519
2023-09-22,Guntur,100.0,4519
2023-09-23,Guntur,100.0,4519
2023-09-24,Guntur,100.0,4519
2023-09-25,Guntur,100.0,4519
2023-09-26,Guntur,100.0,4519
2023-09-27,Guntur,100.0,4519
2023-09-28,Guntur,100.0,4519
2023-09-29,Guntur,100.0,4519
2023-09-30,Guntur,100.0,4519
2023-10-01,Guntur,99.43,4519
2023-10-02,Guntur,98.91,4519
2023-10-03,Guntur,98.71,4519
2023-10-04,Guntur,98.49,4519
2023-10-05,Guntur,97.77,4519
2023-10-06,Guntur,97.28,4519
2023-10-07,Guntur,96.57,4519
2023-10-08,Guntur,96.21,4519
2023-10-09,Guntur,95.68,4519
2023-10-10,Guntur,95.21,4519
2023-10-11,Guntur,94.89,4519
2023-10-12,Guntur,94.46,4519
2023-10-13,Guntur,94.01,4519
2023-10-14,Guntur,93.77,4519
2023-10-15,Guntur,93.45,4519
2023-10-16,Guntur,92.8,4519
2023-10-17,Guntur,92.05,4519
2023-10-18,Guntur,91.7,4519
2023-10-19,Guntur,91.39,4519
2023-10-20,Guntur,91.15,4519
2023-10-21,Guntur,90.58,4519
2023-10-22,Guntur,90.25,4519
2023-10-23,Guntur,89.46,4519
2023-10-24,Guntur,89.13,4519
2023-10-25,Guntur,88.75,4519
2023-10-26,Guntur,88.23,4519
2023-10-27,Guntur,87.57,4519
2023-10-28,Guntur,87.14,4519
2023-10-29,Guntur,86.75,4519
2023-10-30,Guntur,85.95,4519
2023-10-31,Guntur,85.84,4519
2023-11-01,Guntur,85.12,4519
2023-11-02,Guntur,84.91,4519
2023-11-03,Guntur,84.26,4519
2023-11-04,Guntur,83.73,4519
2023-11-05,Guntur,83.39,4519
2023-11-06,Guntur,82.68,4519
2023-11-07,Guntur,82.57,4519
2023-11-08,Guntur,82.31,4519
2023-11-09,Guntur,81.81,4519
2023-11-10,Guntur,81.47,4519
2023-11-11,Guntur,80.94,4519
2023-11-12,Guntur,80.82,4519
2023-11-13,Guntur,80.64,4519
2023-11-14,Guntur,80.45,4519
2023-11-15,Guntur,80.22,4519
2023-11-16,Guntur,79.8,4519
2023-11-17,Guntur,79.17,4519
2023-11-18,Guntur,78.44,4519
2023-11-19,Guntur,77.75,4519
2023-11-20,Guntur,77.52,4519
2023-11-21,Guntur,77.11,4519
2023-11-22,Guntur,76.87,4519
2023-11-23,Guntur,76.58,4519
2023-11-24,Guntur,76.13,4519
2023-11-25,Guntur,75.98,4519
2023-11-26,Guntur,75.73,4519
2023-11-27,Guntur,74.97,4519
2023-11-28,Guntur,74.55,4519
2023-11-29,Guntur,74.14,4519
2023-11-30,Guntur,74.03,4519
2023-12-01,Guntur,73.75,4519
2023-12-02,Guntur,73.05,4519
2023-12-03,Guntur,72.83,4519
2023-12-04,Guntur,72.44,4519
2023-12-05,Guntur,72.33,4519
2023-12-06,Guntur,71.9,4519
2023-12-07,Guntur,71.78,4519
2023-12-08,Guntur,71.11,4519
2023-12-09,Guntur,70.43,4519
2023-12-10,Guntur,69.78,4519
2023-12-11,Guntur,69.48,4519
2023-12-12,Guntur,68.79,4519
2023-12-13,Guntur,68.31,4519
2023-12-14,Guntur,67.95,4519
2023-12-15,Guntur,67.41,4519
2023-12-16,Guntur,67.31,4519
